item_id,clothing_type,color,sleeve_length,style,rating,preferred,image_url
1,shirt,green,short,casual,2,1,https://example.com/images/item_1.jpg
2,shirt,blue,long,formal,4,1,https://example.com/images/item_2.jpg
3,shirt,black,long,formal,2,1,https://example.com/images/item_3.jpg
4,jacket,white,short,formal,5,0,https://example.com/images/item_4.jpg
5,shirt,white,short,casual,5,1,https://example.com/images/item_5.jpg
6,dress,green,short,casual,2,1,https://example.com/images/item_6.jpg
7,skirt,blue,short,formal,1,1,https://example.com/images/item_7.jpg
8,skirt,green,short,formal,4,0,https://example.com/images/item_8.jpg
9,jacket,white,long,formal,3,0,https://example.com/images/item_9.jpg
10,jacket,blue,long,casual,3,1,https://example.com/images/item_10.jpg
11,jacket,white,short,casual,5,0,https://example.com/images/item_11.jpg
12,jacket,grey,short,casual,3,0,https://example.com/images/item_12.jpg
13,shirt,grey,long,formal,1,0,https://example.com/images/item_13.jpg
14,shirt,blue,short,casual,3,0,https://example.com/images/item_14.jpg
15,skirt,grey,short,casual,3,1,https://example.com/images/item_15.jpg
16,jacket,grey,long,casual,3,0,https://example.com/images/item_16.jpg
17,dress,white,short,formal,4,0,https://example.com/images/item_17.jpg
18,shirt,blue,short,formal,1,0,https://example.com/images/item_18.jpg
19,pants,white,short,formal,1,0,https://example.com/images/item_19.jpg
20,jacket,grey,long,formal,2,0,https://example.com/images/item_20.jpg
21,dress,white,long,formal,4,1,https://example.com/images/item_21.jpg
22,shirt,red,long,casual,1,1,https://example.com/images/item_22.jpg
23,shirt,black,short,formal,3,0,https://example.com/images/item_23.jpg
24,shirt,white,short,formal,4,1,https://example.com/images/item_24.jpg
25,pants,red,long,casual,5,1,https://example.com/images/item_25.jpg
26,skirt,blue,long,casual,5,0,https://example.com/images/item_26.jpg
27,jacket,grey,long,formal,3,0,https://example.com/images/item_27.jpg
28,shirt,grey,long,casual,4,1,https://example.com/images/item_28.jpg
29,dress,green,long,casual,4,1,https://example.com/images/item_29.jpg
30,skirt,green,long,formal,1,1,https://example.com/images/item_30.jpg
31,dress,blue,short,formal,1,1,https://example.com/images/item_31.jpg
32,jacket,white,long,casual,2,1,https://example.com/images/item_32.jpg
33,pants,red,long,formal,2,1,https://example.com/images/item_33.jpg
34,skirt,blue,short,casual,3,1,https://example.com/images/item_34.jpg
35,pants,black,long,casual,2,1,https://example.com/images/item_35.jpg
36,jacket,green,short,formal,3,0,https://example.com/images/item_36.jpg
37,jacket,white,long,formal,3,1,https://example.com/images/item_37.jpg
38,jacket,grey,long,formal,2,0,https://example.com/images/item_38.jpg
39,pants,blue,long,casual,4,0,https://example.com/images/item_39.jpg
40,jacket,white,long,formal,3,1,https://example.com/images/item_40.jpg
41,jacket,blue,long,formal,2,0,https://example.com/images/item_41.jpg
42,jacket,grey,short,formal,5,0,https://example.com/images/item_42.jpg
43,shirt,blue,short,casual,5,1,https://example.com/images/item_43.jpg
44,dress,red,long,casual,3,1,https://example.com/images/item_44.jpg
45,shirt,grey,long,casual,2,0,https://example.com/images/item_45.jpg
46,shirt,blue,long,casual,5,0,https://example.com/images/item_46.jpg
47,jacket,black,short,formal,1,1,https://example.com/images/item_47.jpg
48,shirt,red,long,casual,2,1,https://example.com/images/item_48.jpg
49,pants,red,short,formal,4,0,https://example.com/images/item_49.jpg
50,jacket,green,long,formal,3,1,https://example.com/images/item_50.jpg
51,pants,grey,long,casual,4,1,https://example.com/images/item_51.jpg
52,dress,green,short,casual,5,0,https://example.com/images/item_52.jpg
53,dress,white,long,formal,5,1,https://example.com/images/item_53.jpg
54,shirt,red,long,formal,1,0,https://example.com/images/item_54.jpg
55,skirt,grey,short,casual,3,0,https://example.com/images/item_55.jpg
56,jacket,white,short,casual,1,0,https://example.com/images/item_56.jpg
57,pants,black,short,formal,3,0,https://example.com/images/item_57.jpg
58,jacket,white,long,casual,1,1,https://example.com/images/item_58.jpg
59,dress,red,short,formal,1,1,https://example.com/images/item_59.jpg
60,pants,green,short,formal,1,1,https://example.com/images/item_60.jpg
61,dress,red,long,casual,2,1,https://example.com/images/item_61.jpg
62,dress,black,short,formal,5,1,https://example.com/images/item_62.jpg
63,jacket,grey,long,casual,4,1,https://example.com/images/item_63.jpg
64,shirt,green,short,formal,2,1,https://example.com/images/item_64.jpg
65,pants,red,long,casual,4,0,https://example.com/images/item_65.jpg
66,shirt,red,short,formal,4,0,https://example.com/images/item_66.jpg
67,skirt,white,long,casual,1,1,https://example.com/images/item_67.jpg
68,dress,white,short,casual,5,1,https://example.com/images/item_68.jpg
69,skirt,black,short,formal,3,0,https://example.com/images/item_69.jpg
70,shirt,white,short,casual,4,1,https://example.com/images/item_70.jpg
71,shirt,green,long,formal,3,1,https://example.com/images/item_71.jpg
72,shirt,black,long,formal,3,0,https://example.com/images/item_72.jpg
73,pants,blue,short,formal,4,0,https://example.com/images/item_73.jpg
74,jacket,green,long,casual,2,0,https://example.com/images/item_74.jpg
75,jacket,blue,short,formal,3,0,https://example.com/images/item_75.jpg
76,pants,white,short,casual,2,0,https://example.com/images/item_76.jpg
77,skirt,black,long,casual,5,1,https://example.com/images/item_77.jpg
78,dress,white,long,casual,3,1,https://example.com/images/item_78.jpg
79,pants,grey,short,casual,5,1,https://example.com/images/item_79.jpg
80,skirt,green,short,formal,3,1,https://example.com/images/item_80.jpg
81,shirt,blue,short,casual,4,0,https://example.com/images/item_81.jpg
82,jacket,black,short,casual,4,1,https://example.com/images/item_82.jpg
83,pants,white,long,formal,1,0,https://example.com/images/item_83.jpg
84,dress,red,long,casual,4,1,https://example.com/images/item_84.jpg
85,pants,blue,short,casual,5,1,https://example.com/images/item_85.jpg
86,shirt,grey,short,casual,2,1,https://example.com/images/item_86.jpg
87,pants,white,long,formal,1,0,https://example.com/images/item_87.jpg
88,skirt,green,long,casual,3,0,https://example.com/images/item_88.jpg
89,shirt,grey,long,formal,2,0,https://example.com/images/item_89.jpg
90,pants,black,short,formal,4,1,https://example.com/images/item_90.jpg
91,dress,grey,long,formal,4,1,https://example.com/images/item_91.jpg
92,pants,red,short,casual,4,1,https://example.com/images/item_92.jpg
93,shirt,black,short,formal,5,1,https://example.com/images/item_93.jpg
94,jacket,black,long,formal,4,0,https://example.com/images/item_94.jpg
95,jacket,black,short,casual,2,1,https://example.com/images/item_95.jpg
96,jacket,blue,short,casual,2,0,https://example.com/images/item_96.jpg
97,pants,green,long,formal,2,1,https://example.com/images/item_97.jpg
98,pants,green,long,casual,3,0,https://example.com/images/item_98.jpg
99,jacket,red,short,formal,4,0,https://example.com/images/item_99.jpg
100,pants,black,short,formal,3,0,https://example.com/images/item_100.jpg
101,jacket,white,long,formal,3,1,https://example.com/images/item_101.jpg
102,dress,red,long,casual,2,0,https://example.com/images/item_102.jpg
103,skirt,red,long,casual,4,1,https://example.com/images/item_103.jpg
104,pants,black,long,formal,3,1,https://example.com/images/item_104.jpg
105,dress,white,long,formal,4,0,https://example.com/images/item_105.jpg
106,dress,black,long,casual,4,1,https://example.com/images/item_106.jpg
107,jacket,grey,long,formal,5,0,https://example.com/images/item_107.jpg
108,shirt,blue,short,formal,5,1,https://example.com/images/item_108.jpg
109,skirt,green,long,casual,3,0,https://example.com/images/item_109.jpg
110,shirt,grey,long,formal,5,0,https://example.com/images/item_110.jpg
111,jacket,green,long,formal,1,0,https://example.com/images/item_111.jpg
112,dress,blue,short,formal,1,1,https://example.com/images/item_112.jpg
113,shirt,red,long,formal,2,0,https://example.com/images/item_113.jpg
114,jacket,green,short,formal,4,1,https://example.com/images/item_114.jpg
115,skirt,blue,short,casual,4,0,https://example.com/images/item_115.jpg
116,jacket,blue,long,formal,4,0,https://example.com/images/item_116.jpg
117,skirt,red,long,casual,4,0,https://example.com/images/item_117.jpg
118,skirt,red,long,casual,1,0,https://example.com/images/item_118.jpg
119,jacket,green,long,formal,5,1,https://example.com/images/item_119.jpg
120,dress,red,long,casual,3,1,https://example.com/images/item_120.jpg
121,skirt,green,short,formal,5,1,https://example.com/images/item_121.jpg
122,skirt,red,long,formal,3,0,https://example.com/images/item_122.jpg
123,skirt,red,short,formal,1,1,https://example.com/images/item_123.jpg
124,dress,grey,short,formal,4,1,https://example.com/images/item_124.jpg
125,dress,red,long,casual,2,0,https://example.com/images/item_125.jpg
126,skirt,green,long,casual,1,1,https://example.com/images/item_126.jpg
127,dress,grey,long,formal,1,1,https://example.com/images/item_127.jpg
128,jacket,red,short,formal,1,1,https://example.com/images/item_128.jpg
129,skirt,black,short,formal,3,0,https://example.com/images/item_129.jpg
130,dress,green,long,formal,2,0,https://example.com/images/item_130.jpg
131,skirt,red,short,casual,3,0,https://example.com/images/item_131.jpg
132,shirt,red,long,casual,2,1,https://example.com/images/item_132.jpg
133,skirt,black,short,formal,1,1,https://example.com/images/item_133.jpg
134,skirt,grey,short,casual,4,0,https://example.com/images/item_134.jpg
135,jacket,blue,long,casual,5,0,https://example.com/images/item_135.jpg
136,pants,blue,short,casual,4,1,https://example.com/images/item_136.jpg
137,jacket,green,short,casual,4,0,https://example.com/images/item_137.jpg
138,dress,blue,long,casual,3,1,https://example.com/images/item_138.jpg
139,skirt,green,long,casual,4,1,https://example.com/images/item_139.jpg
140,jacket,red,long,formal,1,0,https://example.com/images/item_140.jpg
141,jacket,grey,long,formal,3,0,https://example.com/images/item_141.jpg
142,pants,green,long,formal,1,0,https://example.com/images/item_142.jpg
143,dress,grey,short,formal,2,0,https://example.com/images/item_143.jpg
144,pants,black,short,casual,3,0,https://example.com/images/item_144.jpg
145,jacket,green,short,formal,4,0,https://example.com/images/item_145.jpg
146,jacket,grey,long,casual,1,1,https://example.com/images/item_146.jpg
147,shirt,red,short,formal,2,1,https://example.com/images/item_147.jpg
148,dress,green,short,formal,3,0,https://example.com/images/item_148.jpg
149,dress,red,long,formal,3,1,https://example.com/images/item_149.jpg
150,skirt,black,short,casual,5,1,https://example.com/images/item_150.jpg
151,jacket,blue,short,formal,4,1,https://example.com/images/item_151.jpg
152,skirt,blue,short,formal,3,1,https://example.com/images/item_152.jpg
153,skirt,black,short,formal,2,0,https://example.com/images/item_153.jpg
154,dress,green,short,formal,2,1,https://example.com/images/item_154.jpg
155,shirt,white,short,formal,5,1,https://example.com/images/item_155.jpg
156,jacket,green,short,casual,4,1,https://example.com/images/item_156.jpg
157,jacket,blue,long,formal,5,0,https://example.com/images/item_157.jpg
158,jacket,red,long,casual,1,0,https://example.com/images/item_158.jpg
159,skirt,green,short,formal,4,1,https://example.com/images/item_159.jpg
160,jacket,red,short,formal,2,0,https://example.com/images/item_160.jpg
161,pants,blue,short,formal,4,1,https://example.com/images/item_161.jpg
162,pants,white,long,casual,3,1,https://example.com/images/item_162.jpg
163,dress,black,short,formal,4,1,https://example.com/images/item_163.jpg
164,shirt,white,long,casual,3,0,https://example.com/images/item_164.jpg
165,jacket,green,long,casual,2,1,https://example.com/images/item_165.jpg
166,jacket,white,short,formal,5,1,https://example.com/images/item_166.jpg
167,pants,grey,long,casual,3,1,https://example.com/images/item_167.jpg
168,pants,red,long,casual,1,0,https://example.com/images/item_168.jpg
169,jacket,green,short,formal,4,1,https://example.com/images/item_169.jpg
170,shirt,black,long,formal,3,1,https://example.com/images/item_170.jpg
171,dress,white,short,formal,3,1,https://example.com/images/item_171.jpg
172,jacket,red,short,casual,5,1,https://example.com/images/item_172.jpg
173,dress,grey,long,casual,5,0,https://example.com/images/item_173.jpg
174,dress,green,long,casual,1,0,https://example.com/images/item_174.jpg
175,skirt,red,long,casual,4,0,https://example.com/images/item_175.jpg
176,dress,green,long,casual,1,1,https://example.com/images/item_176.jpg
177,jacket,black,long,formal,4,1,https://example.com/images/item_177.jpg
178,jacket,black,long,casual,1,0,https://example.com/images/item_178.jpg
179,jacket,blue,long,formal,5,1,https://example.com/images/item_179.jpg
180,jacket,blue,short,formal,3,1,https://example.com/images/item_180.jpg
181,dress,red,long,casual,1,0,https://example.com/images/item_181.jpg
182,jacket,red,short,casual,4,1,https://example.com/images/item_182.jpg
183,jacket,grey,short,formal,4,0,https://example.com/images/item_183.jpg
184,skirt,white,short,formal,3,1,https://example.com/images/item_184.jpg
185,pants,green,long,formal,2,0,https://example.com/images/item_185.jpg
186,skirt,red,long,formal,4,1,https://example.com/images/item_186.jpg
187,pants,grey,short,formal,5,0,https://example.com/images/item_187.jpg
188,pants,white,long,casual,3,1,https://example.com/images/item_188.jpg
189,skirt,red,short,casual,4,1,https://example.com/images/item_189.jpg
190,pants,blue,short,casual,1,0,https://example.com/images/item_190.jpg
191,shirt,blue,long,formal,5,0,https://example.com/images/item_191.jpg
192,jacket,white,short,formal,4,1,https://example.com/images/item_192.jpg
193,pants,black,short,casual,3,0,https://example.com/images/item_193.jpg
194,shirt,black,short,formal,1,1,https://example.com/images/item_194.jpg
195,dress,grey,short,formal,1,0,https://example.com/images/item_195.jpg
196,pants,white,long,casual,2,0,https://example.com/images/item_196.jpg
197,dress,blue,long,formal,5,1,https://example.com/images/item_197.jpg
198,skirt,green,long,casual,4,0,https://example.com/images/item_198.jpg
199,skirt,black,long,formal,1,1,https://example.com/images/item_199.jpg
200,pants,grey,short,formal,3,1,https://example.com/images/item_200.jpg
201,shirt,grey,short,casual,2,0,https://example.com/images/item_201.jpg
202,pants,green,long,formal,2,0,https://example.com/images/item_202.jpg
203,skirt,blue,short,casual,4,1,https://example.com/images/item_203.jpg
204,skirt,green,long,casual,2,0,https://example.com/images/item_204.jpg
205,jacket,blue,short,formal,2,1,https://example.com/images/item_205.jpg
206,skirt,white,short,formal,1,1,https://example.com/images/item_206.jpg
207,pants,white,long,casual,5,0,https://example.com/images/item_207.jpg
208,jacket,blue,long,casual,3,0,https://example.com/images/item_208.jpg
209,jacket,white,long,formal,5,1,https://example.com/images/item_209.jpg
210,pants,black,long,casual,3,0,https://example.com/images/item_210.jpg
211,skirt,grey,short,formal,5,0,https://example.com/images/item_211.jpg
212,pants,red,long,casual,2,0,https://example.com/images/item_212.jpg
213,skirt,green,short,casual,2,1,https://example.com/images/item_213.jpg
214,skirt,black,short,casual,2,1,https://example.com/images/item_214.jpg
215,skirt,red,long,casual,5,1,https://example.com/images/item_215.jpg
216,skirt,green,long,casual,1,0,https://example.com/images/item_216.jpg
217,skirt,grey,long,formal,5,0,https://example.com/images/item_217.jpg
218,pants,white,long,formal,2,0,https://example.com/images/item_218.jpg
219,skirt,white,long,formal,2,0,https://example.com/images/item_219.jpg
220,dress,grey,long,formal,1,1,https://example.com/images/item_220.jpg
221,dress,black,long,formal,4,1,https://example.com/images/item_221.jpg
222,jacket,white,long,casual,4,1,https://example.com/images/item_222.jpg
223,dress,black,short,formal,4,0,https://example.com/images/item_223.jpg
224,shirt,black,short,formal,3,0,https://example.com/images/item_224.jpg
225,shirt,grey,long,casual,2,1,https://example.com/images/item_225.jpg
226,skirt,grey,long,casual,3,1,https://example.com/images/item_226.jpg
227,skirt,red,short,casual,1,1,https://example.com/images/item_227.jpg
228,shirt,white,long,formal,1,1,https://example.com/images/item_228.jpg
229,dress,white,long,casual,2,1,https://example.com/images/item_229.jpg
230,shirt,black,short,formal,4,1,https://example.com/images/item_230.jpg
231,shirt,blue,short,casual,4,0,https://example.com/images/item_231.jpg
232,shirt,green,long,casual,1,0,https://example.com/images/item_232.jpg
233,shirt,grey,long,formal,1,0,https://example.com/images/item_233.jpg
234,skirt,black,short,formal,1,1,https://example.com/images/item_234.jpg
235,shirt,black,short,formal,1,0,https://example.com/images/item_235.jpg
236,shirt,red,short,formal,1,0,https://example.com/images/item_236.jpg
237,dress,red,long,casual,2,1,https://example.com/images/item_237.jpg
238,pants,white,long,casual,3,1,https://example.com/images/item_238.jpg
239,jacket,red,short,formal,5,1,https://example.com/images/item_239.jpg
240,skirt,blue,short,casual,1,1,https://example.com/images/item_240.jpg
241,skirt,green,long,casual,4,0,https://example.com/images/item_241.jpg
242,skirt,grey,short,formal,1,1,https://example.com/images/item_242.jpg
243,dress,black,long,casual,3,1,https://example.com/images/item_243.jpg
244,jacket,white,long,formal,3,0,https://example.com/images/item_244.jpg
245,pants,white,short,formal,3,1,https://example.com/images/item_245.jpg
246,pants,white,long,formal,5,1,https://example.com/images/item_246.jpg
247,jacket,blue,short,formal,4,0,https://example.com/images/item_247.jpg
248,shirt,white,long,formal,3,1,https://example.com/images/item_248.jpg
249,pants,blue,short,casual,1,0,https://example.com/images/item_249.jpg
250,shirt,white,long,formal,4,1,https://example.com/images/item_250.jpg
251,dress,green,short,formal,5,1,https://example.com/images/item_251.jpg
252,dress,green,long,formal,1,0,https://example.com/images/item_252.jpg
253,pants,black,long,formal,2,0,https://example.com/images/item_253.jpg
254,jacket,grey,long,formal,5,1,https://example.com/images/item_254.jpg
255,shirt,blue,long,formal,4,1,https://example.com/images/item_255.jpg
256,jacket,green,long,formal,3,1,https://example.com/images/item_256.jpg
257,pants,red,long,formal,5,1,https://example.com/images/item_257.jpg
258,shirt,blue,short,casual,2,0,https://example.com/images/item_258.jpg
259,skirt,black,long,formal,1,1,https://example.com/images/item_259.jpg
260,dress,black,short,formal,3,1,https://example.com/images/item_260.jpg
261,skirt,grey,long,casual,1,1,https://example.com/images/item_261.jpg
262,jacket,black,long,formal,5,0,https://example.com/images/item_262.jpg
263,shirt,blue,long,formal,3,0,https://example.com/images/item_263.jpg
264,jacket,blue,long,formal,3,1,https://example.com/images/item_264.jpg
265,dress,black,short,formal,3,1,https://example.com/images/item_265.jpg
266,skirt,blue,short,casual,5,1,https://example.com/images/item_266.jpg
267,shirt,black,long,formal,4,1,https://example.com/images/item_267.jpg
268,shirt,red,long,formal,1,0,https://example.com/images/item_268.jpg
269,skirt,black,short,formal,1,1,https://example.com/images/item_269.jpg
270,shirt,green,long,formal,4,0,https://example.com/images/item_270.jpg
271,dress,green,short,formal,4,0,https://example.com/images/item_271.jpg
272,skirt,blue,short,formal,5,0,https://example.com/images/item_272.jpg
273,dress,white,short,casual,5,1,https://example.com/images/item_273.jpg
274,skirt,blue,short,formal,4,1,https://example.com/images/item_274.jpg
275,skirt,blue,short,casual,2,1,https://example.com/images/item_275.jpg
276,shirt,red,long,formal,5,1,https://example.com/images/item_276.jpg
277,skirt,grey,short,formal,5,1,https://example.com/images/item_277.jpg
278,dress,white,long,casual,2,1,https://example.com/images/item_278.jpg
279,skirt,red,long,formal,1,0,https://example.com/images/item_279.jpg
280,pants,grey,short,casual,3,0,https://example.com/images/item_280.jpg
281,pants,red,long,formal,2,0,https://example.com/images/item_281.jpg
282,pants,white,long,casual,1,0,https://example.com/images/item_282.jpg
283,shirt,black,long,casual,3,0,https://example.com/images/item_283.jpg
284,dress,red,short,formal,5,1,https://example.com/images/item_284.jpg
285,skirt,black,long,formal,1,0,https://example.com/images/item_285.jpg
286,pants,grey,long,casual,4,1,https://example.com/images/item_286.jpg
287,dress,red,long,formal,2,1,https://example.com/images/item_287.jpg
288,skirt,white,long,formal,2,1,https://example.com/images/item_288.jpg
289,skirt,blue,short,formal,3,0,https://example.com/images/item_289.jpg
290,pants,red,long,casual,5,1,https://example.com/images/item_290.jpg
291,pants,red,long,formal,3,1,https://example.com/images/item_291.jpg
292,pants,green,short,casual,5,0,https://example.com/images/item_292.jpg
293,dress,red,long,formal,5,0,https://example.com/images/item_293.jpg
294,pants,black,short,formal,5,0,https://example.com/images/item_294.jpg
295,jacket,green,short,formal,2,1,https://example.com/images/item_295.jpg
296,pants,white,long,formal,4,0,https://example.com/images/item_296.jpg
297,skirt,red,short,casual,2,1,https://example.com/images/item_297.jpg
298,jacket,black,short,formal,2,0,https://example.com/images/item_298.jpg
299,skirt,red,short,formal,1,1,https://example.com/images/item_299.jpg
300,shirt,grey,long,formal,1,1,https://example.com/images/item_300.jpg
301,skirt,white,short,casual,5,0,https://example.com/images/item_301.jpg
302,pants,grey,short,casual,1,1,https://example.com/images/item_302.jpg
303,dress,grey,long,casual,5,1,https://example.com/images/item_303.jpg
304,dress,blue,short,formal,2,1,https://example.com/images/item_304.jpg
305,skirt,blue,long,casual,4,0,https://example.com/images/item_305.jpg
306,pants,blue,short,formal,3,1,https://example.com/images/item_306.jpg
307,jacket,grey,long,formal,4,0,https://example.com/images/item_307.jpg
308,dress,blue,long,formal,5,0,https://example.com/images/item_308.jpg
309,jacket,black,long,casual,1,0,https://example.com/images/item_309.jpg
310,jacket,red,long,formal,1,1,https://example.com/images/item_310.jpg
311,pants,blue,short,formal,5,1,https://example.com/images/item_311.jpg
312,dress,green,short,casual,4,0,https://example.com/images/item_312.jpg
313,pants,green,short,casual,2,0,https://example.com/images/item_313.jpg
314,pants,white,long,formal,4,1,https://example.com/images/item_314.jpg
315,pants,grey,long,formal,5,0,https://example.com/images/item_315.jpg
316,pants,white,long,casual,1,1,https://example.com/images/item_316.jpg
317,shirt,blue,long,casual,3,1,https://example.com/images/item_317.jpg
318,skirt,blue,long,casual,2,1,https://example.com/images/item_318.jpg
319,jacket,green,long,formal,1,1,https://example.com/images/item_319.jpg
320,jacket,red,long,casual,2,0,https://example.com/images/item_320.jpg
321,dress,green,short,formal,2,1,https://example.com/images/item_321.jpg
322,skirt,red,long,casual,3,1,https://example.com/images/item_322.jpg
323,shirt,white,short,casual,5,1,https://example.com/images/item_323.jpg
324,skirt,white,short,casual,3,1,https://example.com/images/item_324.jpg
325,pants,black,short,formal,5,0,https://example.com/images/item_325.jpg
326,jacket,grey,long,casual,4,0,https://example.com/images/item_326.jpg
327,pants,grey,long,casual,4,1,https://example.com/images/item_327.jpg
328,dress,grey,short,casual,3,0,https://example.com/images/item_328.jpg
329,jacket,grey,short,casual,2,1,https://example.com/images/item_329.jpg
330,shirt,red,short,casual,1,0,https://example.com/images/item_330.jpg
331,shirt,green,short,casual,2,0,https://example.com/images/item_331.jpg
332,pants,black,long,casual,4,0,https://example.com/images/item_332.jpg
333,pants,green,short,casual,4,0,https://example.com/images/item_333.jpg
